Site,site_name,country,database,weather_name,pyranometer_cal,Latitude,Longitude,Elevation,Timezone,Weather height,Sensor height,Nodes,Crop,CropDB,default_height,start_date,end_date,valid,hw_version,pyranometer_node,pyranometer_since
Algeria 2019,ITGC,dz,cordova_et_dz,Algeria,1.273921047,36.71896804,3.150969967,37.0,Africa/Algiers,2.0,2.0,,,,,,,0,1.0,,
Algeria 2022,Algerie,dz,cordova_et_dz,Algerie,1.273921047,36.71896804,3.150969967,37.0,Africa/Algiers,2.0,2.0,,,,,,,0,3.0,,
Egypt Season 1,Kafr El-Shaikh,eg,cordova_et_eg,Sakha_Station,1.273921047,31.096579,30.922311,5.0,Africa/Cairo,2.9,1.85,"eg_005, eg_006, egy-007, egy-008",Wheat,wheat_2020,1.0,2019-11-27,2020-05-20,1,2.0,,
Egypt Season 2,Kafr El-Shaikh,eg,cordova_et_eg,Sakha_Station,1.273921047,31.096579,30.922311,5.0,Africa/Cairo,2.5,1.85,"eg_005, eg_006, egy-007, egy-008",Rice,,1.0,2020-06-16,2020-10-22,1,2.0,,
Egypt Season 5,Kafr El-Shaikh,eg,cordova_et_eg,Sakha_Station,1.273921047,31.096579,30.922311,5.0,Africa/Cairo,2.9,1.85,"eg-005, eg-006",Wheat,wheat_2020,1.0,2021-12-05,2022-05-15,1,3.0,,
Egypt Menia,Menia,eg,cordova_et_eg,Menia,2.64,28.10107,30.746473,5.0,Africa/Cairo,2.9,1.85,"eg-009, eg-010, eg-011, eg-012",,wheat_2020,1.0,2022-09-13,,0,4.0,eg-py-01,2022-09-13
Egypt Season 7,Kafr El-Shaikh,eg,cordova_et_eg,Sakha_Station,1.273921047,31.096579,30.922311,5.0,Africa/Cairo,2.9,1.85,"eg-005, eg-006, eg-007, eg-008",Wheat,wheat_2020,1.0,2022-11-24,,0,3.0,,
Egypt Zankaloun,Zankaloun,eg,cordova_et_eg,Zankaloun,1.273921047,30.580285,31.433497,9.0,Africa/Cairo,2.0,1.4,"eg_001, eg_002, eg_003, eg_004",,maize_2020,2.0,,,0,2.0,,
Spain IAS 2020,IAS-CSIC,es,cordova_et_es,IAS-CSIC,1.273921047,37.857916,-4.8017,96.0,Europe/Madrid,2.0,2.9,"es_004_br, es_005, es_007",Wheat,wheat_2020,1.0,2020-03-12,2020-06-04,1,3.0,,
Spain IAS Sorghum,IAS-CSIC,es,cordova_et_es,IAS-CSIC,1.273921047,37.860658,-4.795877,96.0,Europe/Madrid,2.0,2.9,"es_002, es_004, es_004_br, es_005, es_006, es_007",Sorghum,,1.1,2020-07-07,2020-10-26,1,3.0,,
Spain IAS 2021,IAS-CSIC,es,cordova_et_es,IFAPA_Unified,1.0,37.858252,-4.803926,96.0,Europe/Madrid,2.9,2.9,"es_001, es_003, es_006, es_007",Wheat,wheat_2021,1.0,2021-02-21,2021-06-04,1,3.0,,
Spain IAS2,IAS-CSIC,es,cordova_et_es,IFAPA2,1.273921047,37.860348,-4.796451,96.0,Europe/Madrid,2.9,2.9,"es_001, es_003, es_006, es_007",Wheat,wheat_2021,1.0,2021-04-16,2021-06-04,1,3.0,,
Spain Villaseca,Villaseca,es,cordova_et_es,Villaseca,1.273921047,37.792288,-5.010702,96.0,Europe/Madrid,5.0,6.0,"es-001, es-002, es-003, es-004, es-005, es-006, es_007",Almonds,,4.0,2021-05-21,2022-11-04,1,3.0,,
Spain Bowen,Bowen Ratio,es,bowen_ratio,Bowen,1.273921047,37.857815,-4.801525,96.0,Europe/Madrid,2.0,2.9,,Wheat,wheat_2020,1.0,,,0,,,
Iran,Lake Urmia,ir,cordova_et_ir,Iran ,1.273921047,37.6594301,44.9768271,1371.15,Asia/Tehran,2.0,2.0,,,,,,,0,3.0,,
Iran 2022,Lake Urmia,ir,cordova_et_ir,Iran ,1.273921047,37.6594301,44.9768271,1371.15,Asia/Tehran,2.0,2.0,,,,,,,0,3.0,,
Jordan Season 1,Jordan,jo,cordova_et_jo,Jordan,1.273921047,32.190515,35.617575,-228.0,Asia/Amman,2.0,2.5,"jo_001, jo_002, jo_003, jo_004",Wheat,wheat_2020,1.0,2019-12-25,2020-05-05,1,3.0,,
Jordan Season 2,Jordan,jo,cordova_et_jo,Jordan,1.273921047,32.190515,35.617575,-228.0,Asia/Amman,2.0,2.5,"jo_001, jo_002, jo_003, jo_004",Maize,,2.0,2020-07-15,2020-10-20,1,3.0,,
Jordan Season 3,Jordan,jo,cordova_et_jo,Jordan,1.273921047,32.190515,35.617575,-228.0,Asia/Amman,2.0,2.5,"jo_001, jo_002, jo_003, jo_004",Fooder Vetch,,1.0,2021-01-16,2021-05-06,1,3.0,,
Jordan Season 4,Jordan,jo,cordova_et_jo,Jordan,1.273921047,32.190515,35.617575,-228.0,Asia/Amman,2.0,2.5,"jo_001, jo_002, jo_003, jo_004",Maize,,2.0,2021-06-14,2021-10-08,1,3.0,,
Jordan Season 5,Jordan,jo,cordova_et_jo,Jordan,1.273921047,32.190515,35.617575,-228.0,Asia/Amman,2.0,2.5,"jo-001, jo-002, jo-003, jo-004",Onion,wheat_2022,0.5,2022-01-01,2022-06-13,1,3.0,,
Jordan Season 6,Jordan,jo,cordova_et_jo,Jordan,1.273921047,32.190515,35.617575,-228.0,Asia/Amman,2.0,2.5,"jo-001, jo-002, jo-003, jo-004",Maize,,2.0,2022-07-28,2022-10-05,0,3.0,,
Lebanon Season 1,Tal Amara,le,cordova_et_lb,Tal Amara,1.0,33.859088,35.987759,910.0,Asia/Beirut,2.0,1.7,"lb_001, lb_002",Wheat,wheat_2020,1.0,2019-12-07,2020-06-07,1,3.0,,
Lebanon Season 2,Tal Amara,le,cordova_et_lb,Tal Amara,1.0,33.859088,35.987759,910.0,Asia/Beirut,2.0,1.7,"lb_001, lb_002, lb_003, lb_004",Potato,,1.0,2020-03-01,2020-07-31,1,3.0,,
Lebanon-NLWE,Al Minieh,le,cordova_et_lb,Lebanon-CNRS,1.0,34.474912,35.9493035,32.0,Asia/Beirut,2.0,1.7,"cnrs-001, cnrs-002, cnrs-003, cnrs-004",Maize,maize_2020,2.0,2020-07-01,,0,3.0,,
Lebanon Season 3,Tal Amara,le,cordova_et_lb,Tal Amara,1.0,33.859088,35.987759,910.0,Asia/Beirut,2.0,1.7,"lb_001, lb_002, lb_003, lb_004",Faba Bean,,1.0,2020-12-03,2021-05-06,1,3.0,,
Lebanon Season 4,Tal Amara,le,cordova_et_lb,Tal Amara,1.0,33.859088,35.987759,910.0,Asia/Beirut,2.0,2.0,"lb-001, lb-002, lb-003, lb-004",Maize,,1.8,2021-07-01,2021-10-08,1,3.0,,
Lebanon Season 5,Tal Amara,le,cordova_et_lb,Tal Amara,1.0,33.859088,35.987759,910.0,Asia/Beirut,2.0,1.7,"lb-001, lb-002, lb-003, lb-004",Wheat,,1.0,2021-12-01,2022-06-16,1,3.0,,
Lebanon Season 6,Tal Amara,le,cordova_et_lb,Tal Amara,1.0,33.859088,35.987759,910.0,Asia/Beirut,2.0,1.7,"lb-001, lb-002, lb-003, lb-004",Soyben,,1.0,2022-08-26,2022-11-15,1,3.0,,
Lebanon Season 7,Tal Amara,le,cordova_et_lb,Lebanon,1.0,33.859088,35.987759,910.0,Asia/Beirut,2.0,1.7,"lb-001, lb-002, lb-003, lb-004",,,1.0,2022-12-01,,0,3.0,lb-pyr-02,2022-10-09
Morocco Season 1,Berrechid,ma,cordova_et_ma,Morocco,1.273921047,33.219246,-7.713618,221.0,Africa/Casablanca,2.5,1.9,ma_004,Maize,maize_2020,2.0,2020-02-23,2020-07-01,1,3.0,,
Morocco Season 2,Berrechid,ma,cordova_et_ma,Morocco,1.273921047,33.219246,-7.713618,221.0,Africa/Casablanca,2.5,1.9,"ma_002, ma_003, ma_004",Beetroot,,1.0,2020-08-27,2020-11-11,1,3.0,,
Morocco Season 3,Berrechid,ma,cordova_et_ma,Morocco,1.273921047,33.219246,-7.713618,221.0,Africa/Casablanca,2.5,1.9,"ma_002, ma_003, ma_004",Wheat,,1.0,2021-01-11,2021-05-31,1,3.0,,
Morocco Season 5,Marchouch,ma,cordova_et_ma,Marchouch,1.0,33.616349,-6.71542,221.0,Africa/Casablanca,2.5,1.9,"ma-009, ma-011, ma-012",Barley,wheat_2020,1.0,2021-11-16,2022-05-07,1,4.0,,
Morocco Season 6,Marchouch,ma,cordova_et_ma,Marchouch,1.0,33.615014,-6.716377,221.0,Africa/Casablanca,2.5,2.2,"ma-011, ma-012",Sorghum,,2.0,2022-05-12,2022-09-01,1,4.0,ma-pyr-01,2022-07-28
Palestine Season 5,Jenin,ps,cordova_et_ps,Jenin,1.0,32.4293937,35.2606194,254.0,Asia/Hebron,2.0,2.0,"ps-005, ps-006, ps-008",Wheat,,1.0,2022-01-02,2022-06-05,1,4.0,,
Palestine Aqaba 2022,Aqaba,ps,cordova_et_ps,Aqaba,1.0,32.3635299,35.3351885,448.0,Asia/Hebron,2.0,2.0,"ps-001, ps-002, ps-003, ps-004",Potato,,0.5,2022-03-10,2022-07-15,0,4.0,,
Palestine Season 6,Jenin,ps,cordova_et_ps,Jenin,1.0,32.4293937,35.2606194,254.0,Asia/Hebron,2.0,2.0,"ps-005, ps-006, ps-008",Wheat,,1.0,2022-07-21,2022-10-01,1,4.0,ps-pyr-02,2022-07-22
Tunisia Season 1,Jendouba,tn,cordova_et_tn,Tunisia,1.273921047,36.5465347,9.0140506,147.0,Africa/Tunis,3.0,2.5,"tn_001, tn_002, tn_003, tn_004",Wheat,wheat_2020,1.0,2019-12-03,2020-06-26,1,3.0,,
Tunisia Season 2,Jendouba,tn,cordova_et_tn,Tunisia,1.273921047,36.5465347,9.0140506,147.0,Africa/Tunis,3.0,2.5,"tn_001, tn_002, tn_003, tn_004",Maize,wheat_2020,2.0,2020-06-19,2020-11-03,1,3.0,,
Tunisia Season 3,Jendouba,tn,cordova_et_tn,Tunisia,1.273921047,36.5465347,9.0140506,147.0,Africa/Tunis,3.0,2.5,"tn_001, tn_002, tn_003, tn_004",Faba Bean,,1.0,2020-12-19,2021-05-26,1,3.0,,
Tunisia Season 4,Jendouba,tn,cordova_et_tn,Tunisia,1.273921047,36.5465347,9.0140506,147.0,Africa/Tunis,3.0,2.5,"tn_001, tn_002, tn_003, tn_004",Sorghum,,1.0,2021-08-09,2021-11-02,1,3.0,,
Tunisia Season 5,Tunisia,tn,cordova_et_tn,Tunisia,1.273921047,36.5465347,9.0140506,147.0,Africa/Tunis,3.0,2.5,"tn-001, tn-002, tn-003, tn-004",Wheat,,1.0,2021-11-26,2022-06-20,1,3.0,,
Tunisia Season 5b,Jendouba,tn,cordova_et_tn,Tunisia,1.273921047,36.5460449,9.0128499,147.0,Africa/Tunis,2.0,2.5,"tn-009, tn-010, tn-011, tn-012",Sugar Beat,,1.0,2022-03-03,2022-06-01,0,3.0,,
Tunisia Olive,Sfax,tn,cordova_et_tn,OI-Sfax,1.0,34.735041,10.734543,7.0,Africa/Tunis,3.0,2.5,"tn-005, tn-006, tn-007, tn-008",,,2.0,2022-06-22,,0,3.0,,
Tunisia Season 6,Jendouba,tn,cordova_et_tn,INGC-Tunisia,1.0,36.5465347,9.0140506,147.0,Africa/Tunis,3.0,2.5,"tn-001, tn-002, tn-003, tn-004",Sorghum,,2.0,2022-08-10,2022-11-23,1,3.0,,
Tunisia Palms,Degache,tn,cordova_et_tn,Degache,1.0,33.97749,8.2101,57.0,Africa/Tunis,3.0,5.0,"tn-013, tn-014, tn-015, tn-016, tn-113, tn-114, tn-115, tn-116",,,2.0,2022-10-25,,0,4.0,,
